,IRF4,BATF_1
FEV_motif2,0.07457185374437127,0.024822355586270894
ETV5_motif2,0.0709863213321927,0.012385725084066998
REL_motif1,0.06901940640938765,0.02762657758371139
ETS2_motif2,0.06844915487179995,0.025665557578103262
RELB_motif1,0.06604571160466642,0.021662729647634597
NFKB1_motif1,0.06547479918282448,0.01994863136767565
STAT3_motif1,0.06458917911159558,0.020972873852132517
SPI1_motif3,0.06156673807684185,0.0009744143323104408
UBP1_motif1,0.060698874137512064,0.01354893869177691
IRF4_motif2,0.05846110285453445,0.000566680576172567
KLF3_motif2,0.058270397574111364,0.0059872280843705945
RELA_motif1,0.057581233207848484,0.013451760097224458
ETS2_motif1,0.05745841659153283,0.02481601160277748
BCL11A_motif1,0.05696122523464175,0.003466159442357439
MZF1_motif1,0.05666846958739237,0.026943721969268156
SPI1_motif1,0.05628444972273449,0.01889658096528606
IRF8_motif1,0.05473701563970833,0.003383639078394545
STAT6_motif2,0.054043465021756394,0.017325536872256426
IRF1_motif1,0.053040823649082885,0.02235445907944209
IRF2_motif1,0.05184209900018923,0.016251360184035914
AR_motif1,0.051068824157954704,-0.015204594940250928
ETS1_motif5,0.050702678407492735,0.022723356384909865
NFKB1_motif2,0.05039717404969404,0.021431722103670902
ERG_motif1,0.05009768797089273,0.01081043593094321
FLI1_motif2,0.04994596451000077,0.00539360201232723
ETS1_motif3,0.04936936259057057,0.022882914889154653
STAT1_motif6,0.04934400648332828,0.020908665074201443
STAT2_motif1,0.04763953056644567,0.014174939656238315
SPI1_motif4,0.04739011735626633,-0.009029838039935232
SPIB_motif1,0.04712640122764066,-0.027741072005936836
MZF1_motif2,0.04613125175119077,0.023822373827994694
MAX_motif1,0.04612376327828768,0.0007226002129566132
HIVEP1_motif1,0.04407430335583809,0.014813111951563407
BACH1_motif4,0.043572811350648076,0.0051662046451379385
STAT5A_motif2,0.04275740621208744,0.012236905658582722
ZNF350_motif1,0.04223454333379655,0.014549598349025455
TAL1_motif3,0.041611324102541564,-0.0062995288541490314
SMAD1_motif1,0.04118649249051462,0.011893002403457479
CEBPA_motif3,0.04076269631068621,-0.008607756189746192
STAT6_motif1,0.04026132361229201,0.012806241478305856
SALL4_motif1,0.039423602438133996,0.024532034510847872
NFKB1_motif3,0.03934485911744439,0.0203759473934457
NR3C1_motif1,0.039250413555288445,0.009674033891876859
VEZF1_motif1,0.03887397771085485,0.01940914449848913
IRF8_motif2,0.038723106799412925,0.020493662385966307
NFKB2_motif1,0.038576036670342,0.018024159771256036
STAT4_motif1,0.03829940186737814,-0.0016616608240008369
TBX1_motif1,0.038120099749144334,0.01674140120243376
ETV5_motif1,0.03803610737773094,0.005255508155713524
NFATC3_motif1,0.037900695387097984,0.015257077133710354
STAT3_motif3,0.037564274430672735,0.005789873900404117
ETS1_motif2,0.0373769463170821,-0.01057349512044193
CBFB_motif1,0.03699318316071007,0.005084963991745605
RORA_motif4,0.03692118995566542,0.0023440782534163798
TCF7L2_motif1,0.036695109935195605,-0.010097438081127808
NR1H4_motif1,0.036630152876452264,0.0020310922082249316
IRF4_motif1,0.036412727132540866,0.0203305451973934
ZNF683_motif1,0.036018207515905884,0.0011745419357049095
PTF1A_motif2,0.03579348720574708,0.02237939034853135
SCRT2_motif1,0.03541509303857879,-0.012619085753356135
FLI1_motif3,0.035177657211853654,-0.01035158704772068
GATA2_motif4,0.034935257651869285,-0.009819499156057709
ZFP82_motif1,0.034878566282050535,0.011615918452689467
IRF3_motif1,0.03479916036544641,0.02474779629683625
FOS_motif2,0.03446432893009959,0.01305010866470553
ZNF691_motif1,0.03441548464638623,-0.00013651856880545713
IRF7_motif2,0.03435469576566351,0.008536489767875974
STAT1_motif3,0.03435368804605972,0.0008791897405881988
PLAG1_motif2,0.03417171484122946,0.021577696281126803
FOS_motif1,0.03411582807399644,0.008845858911913406
MAZ_motif1,0.03410156629652718,0.02165930355584625
PPARG_motif3,0.03355750558583738,0.006244711589304574
GCM2_motif1,0.033526775313656755,0.009044392001887015
NFIC_motif1,0.033517112543172044,0.0035580206827907895
ATF5_motif1,0.03348412025082124,0.01106541158868999
TWIST2_motif1,0.03312384643240404,-0.0012083105882470819
NR2F6_motif3,0.03309625785150806,0.007684477901416378
ETS1_motif4,0.032946635046052525,0.007214189829631364
GATA2_motif3,0.03292467955946371,-0.01190189898182787
PGR_motif1,0.0328986852474657,0.009814301577403305
IKZF4_motif1,0.03280048943767038,0.011027066975446113
NEUROD1_motif1,0.03273797986971301,0.003495234294539464
ELF5_motif2,0.03263086979439125,0.004358418187921936
GATA1_motif5,0.032356878548821265,-0.010386406496649953
SRF_motif1,0.03233709193955656,0.005078116535611549
ZNF281_motif1,0.032164059082694874,0.021212950709514955
NR2C2_motif2,0.032092452957392895,0.01833993311254976
ZBTB47_motif1,0.032089400659603244,-0.015999529172225434
ZNF652_motif1,0.032089400659603244,-0.015999529172225434
