Symbol,IRF4,BATF_1
A2M,-0.001947540502394026,0.0060270561052481395
A4GALT,0.08619667412480048,0.01997928004794517
AAAS,-0.0023861136912300433,0.015118817348362497
AACS,-0.01658676996821375,-0.012808775300233194
AACSP1,-0.007489966410055248,-0.006209440167367764
AAED1,0.038745625205139814,0.014002620826364606
AAMP,0.011022823614938228,0.0007774166801088442
AAR2,0.0032291175286229662,-0.016890100716653374
AARS,-0.023438088610239115,-0.003759583594462324
AARS2,0.01139959612604137,-0.008266379506022124
AASDH,-0.01798412911791182,0.006302274558867787
AASDHPPT,-0.005323255494029489,-0.0006472890483117261
AASS,0.0011764322053054942,-0.011923455874414339
AATF,-0.004869494205806241,-0.017651366618151733
ABCA3,0.007354304078232146,0.01521062162294923
ABCA5,-0.007517497402890107,-0.009280785068063652
ABCA6,-0.03591748985999213,0.01803738390661103
ABCB4,0.03530190697856281,-0.00613369550704111
ABCB7,-0.01087171924729259,-0.007969408312556428
ABCC1,-0.018480822582310853,0.0054325830837464156
ABCC10,-0.015294736680844767,0.012887575607923083
ABCC4,0.008776667462284537,0.02482260905123084
ABCC5,-0.006367938585829755,-0.006958983693923695
ABCC9,-0.009571465725986286,0.020880412006004143
ABCD1,0.00964172609510438,0.01383810818054892
ABCD3,0.007109448567608632,0.002761927182237465
ABCE1,-0.033434898699669736,-0.027066908862209905
ABCE1,-0.0006879342405507694,-0.0045577372705281425
ABCF1,-0.006480453004855492,-0.002619210610731649
ABCF3,0.0007523620689380002,0.009389366745508358
ABCG1,0.07826004001153676,0.011494510082103318
ABHD10,-0.01479014750459174,0.024535729212178
ABHD12,0.006991439488948211,-0.020036392019917925
ABHD14A,-0.02517265807332153,-0.007913326525151474
ABHD14B,0.0008805050789187852,0.03145088355023918
ABHD15,-0.0194337661176588,0.002415440247372491
ABHD17A,-0.01709271600870461,0.0035441557774685585
ABHD17C,-0.013678512010042812,-0.005197797287575105
ABHD18,-0.016133217258751234,0.022562767528431782
ABHD3,-0.0068156796786920494,-0.0019391221355530642
ABHD4,0.014603000223890003,-0.010205555099906291
ABHD5,0.02965216771706519,-0.021129801237512923
ABHD6,0.03528850197329704,0.011407039084315401
ABHD8,-0.009878174375724202,0.012278172753240568
ABI1,0.0324692254975973,-0.008714797143144059
ABI2,-0.022005275977269624,0.0183225735861871
ABI3,0.05317452418539358,0.01627123721364824
ABL1,-0.017879738534730443,0.0035678555234035106
ABLIM1,-0.010111858639136417,0.024221576299813127
ABRACL,-0.02221394827960959,-0.015033508362393255
ABT1,-0.007405380028901242,-0.001507806926844975
ABTB1,0.01345706540578441,-0.0006421543102847435
ABTB2,-0.005236011197799684,-0.02184314891832418
ACACA,-0.018211234054274186,0.02638955980752302
ACAD10,-0.01577191265758328,-0.00790988959993979
ACAD8,0.037751933506718016,0.005229438427416954
ACAD9,0.017600874107168638,0.009758269889148739
ACADM,0.011263146159627667,-0.009214986546148557
ACADSB,-0.006312992510848309,-0.005935698945901448
ACADVL,0.010619843016100475,-0.004445141410000768
ACAP2,-0.008584886085127285,-0.011332436074781774
ACAT2,0.01484495128468455,-9.514723067535614e-05
ACBD3,-0.01892194047218831,-0.005786583184827874
ACBD6,0.02805293598195537,-0.006367167985712046
ACCS,0.0011006113503861255,-0.0367967474474378
ACD,0.021919618298821563,-0.0055516967349327154
ACER3,0.013587628556833941,-0.005683944005693682
ACIN1,-0.027335816026942378,-0.008389672743193813
ACKR1,-0.011927975664776045,0.010428052238660574
ACKR3,0.10565115263200188,-0.004247348943869596
ACLY,-0.0003799594792956696,-0.014302614750723253
ACO1,0.016678222080243072,0.0036320385538550206
ACOT13,0.015702816711895395,-0.004408009103479057
ACOT4,0.03117738119531039,-0.003135317328269165
ACOT7,0.0026518861587235608,0.014864526582370032
ACOT8,0.005360582778440415,0.007991094613686791
ACOT9,-0.013049098829756063,-0.0010089119284091503
ACOX1,0.011818985984646162,-0.0036644182970608985
ACP1,0.0035731916818014377,-0.002138864003123419
ACP2,0.016150818074815318,-0.016681870536212336
ACP5,0.1519475188442568,-0.004618889896564185
ACPT,-0.0077084645849120614,0.0002533086724151301
ACRC,-0.02536659812670483,-0.003254981646962973
ACSL1,0.0052137524551696965,-0.007186701311115322
ACSL3,0.0031298026633752875,-0.001297064351168577
ACSL4,0.011913864245206626,0.01211248343316954
ACSL5,0.013482706148331032,-0.0071045753265336084
ACSM3,-0.03551317473694671,0.022728540844619362
ACSS1,-0.012263123401904311,-0.007121799498347444
ACSS2,-0.06113325919865412,0.007358898316875507
ACTA2,-0.028807058629803952,0.005526932201617638
ACTB,-0.015992274377526122,0.002606493936141058
ACTG1,-0.02590456956259949,-0.016529601485271755
ACTN1,-0.011406537400223415,0.016317339372177293
ACTN4,0.01980730005139782,0.018463819967870897
ACTR1A,0.010061912662034574,0.0024871384441416786
ACTR1B,-0.004901581296942582,0.01996708127538815
ACTR2,0.011692389796125772,0.020390581462048148
ACTR5,0.014049617557685377,-0.0032578496072728246
ACTR6,0.018309092063652527,0.0038603552439488787
ACTR8,0.014136271278040787,-0.0014197249187549686
ACTRT1,-0.022795939946437267,-0.0013874389235267854
ACVR1,0.0008099979691705266,-0.013895478145726352
ACVR1B,0.0029344110810305708,0.008300651162700979
ACVR2A,0.023522999543825484,-0.006319039262019071
ACY3,-0.004570501352385897,0.014199748211930862
ACYP1,-0.027281122687349498,-0.005739970368580639
ACYP2,-0.03943969140891235,0.014808364027306559
ADAL,-0.011700856136773366,0.0002472527578647496
ADAM10,0.018983514795736338,-0.008211805186154705
